Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SUV,ALLENDE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,Caminando,Mas de 2 horas
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,JAMAY,Caminando,Hasta 15 minutos
SEMS,GUADALAJARA,Caminando,16 a 30 minutos
CUTONALA,OCOTLAN,"Camion, combi o colectivo",Mas de 2 horas
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,ZAPOPAN,Caminando,Hasta 15 minutos
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCSH,GUADALAJARA,Caminando,Hasta 15 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,VILLA CORONA,Caminando,Hasta 15 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZACOALCO DE TORRES,Bicicleta,Hasta 15 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Hasta 15 minutos
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 2 horas
SEMS,TOTOTLAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,OCOTLAN,"Camion, combi o colectivo",Mas de 2 horas
CUVALLES,AMECA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,VILLA CORONA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCBA,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,AUTLAN DE NAVARRO,Caminando,Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,LA BARCA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,Caminando,Mas de 1 hora y hasta 2
CUCSUR,AUTLAN DE NAVARRO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,JAMAY,Caminando,Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,EL SALTO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,SAN IGNACIO CERRO GORDO,Caminando,Hasta 15 minutos
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,TOMATLAN,Caminando,Hasta 15 minutos
CUCS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Mas de 1 hora y hasta 2
CUTONALA,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
CUCSUR,COCULA,Caminando,Hasta 15 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,CIUDAD GUZMAN,Caminando,31 minutos a 1 hora
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUALTOS,TEPATITLAN DE MORELOS,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSUR,TONAYA,"Camion, combi o colectivo",Mas de 2 horas
SEMS,TONALA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,Transporte escolar,16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,Otro,Hasta 15 minutos
SEMS,GUADALAJARA,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCS,GUADALAJARA,Caminando,16 a 30 minutos
SEMS,CUAUTITLAN,Caminando,31 minutos a 1 hora
CUTONALA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,VILLA CORONA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,Hasta 15 minutos
SEMS,TLAJOMULCO DE ZUNIGA,"Vehiculo particular (automovil, camioneta o motocicleta)",Mas de 1 hora y hasta 2
CUCSH,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TLAQUEPAQUE,"Vehiculo particular (automovil, camioneta o motocicleta)",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAJOMULCO DE ZUNIGA,Transporte escolar,16 a 30 minutos
SEMS,TOMATLAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,OCOTLAN,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,AUTLAN DE NAVARRO,Caminando,16 a 30 minutos
SEMS,CUQUIO,Caminando,16 a 30 minutos
CUCBA,SAN MARTIN HIDALGO,Caminando,16 a 30 minutos
CUCEA,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,IXTLAHUACAN DE LOS MEMBRILLOS,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUAAD,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TOMATLAN,Caminando,16 a 30 minutos
SEMS,CUQUIO,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,AUTLAN DE NAVARRO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,ZAPOPAN,"Metro, metrobús o tren ligero",16 a 30 minutos
SEMS,AUTLAN DE NAVARRO,"Taxi, uber o trasporte de plataforma",Hasta 15 minutos
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TEPATITLAN DE MORELOS,Bicicleta,16 a 30 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,SAN JUAN DE LOS LAGOS,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCBA,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 2 horas
SEMS,TLAQUEPAQUE,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,TLAQUEPAQUE,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,SAN GABRIEL,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,AMECA,"Camion, combi o colectivo",Hasta 15 minutos
CUCS,GUADALAJARA,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUALTOS,ZAPOTLANEJO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,AYOTLAN,Caminando,16 a 30 minutos
SUV,AZCAPOTZALCO,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,Caminando,Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,DEGOLLADO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,JOCOTEPEC,"Camion, combi o colectivo",Mas de 2 horas
CUCEI,OCOTLAN,Caminando,Hasta 15 minutos
SEMS,TLAQUEPAQUE,Caminando,Hasta 15 minutos
CUCEI,ZAPOPAN,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TOMATLAN,Caminando,Hasta 15 minutos
SEMS,OCOTLAN,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,AUTLAN DE NAVARRO,Caminando,31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TEQUILA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSUR,VILLA PURIFICACION,Caminando,Mas de 1 hora y hasta 2
CUNORTE,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,JUANACATLAN,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,VILLA HIDALGO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCBA,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,GUADALAJARA,Caminando,Hasta 15 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZACOALCO DE TORRES,Caminando,16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUAAD,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,HUEJUQUILLA EL ALTO,Caminando,Hasta 15 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,AUTLAN DE NAVARRO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,ATOTONILCO EL ALTO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUACHINANGO,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,AYOTLAN,Caminando,16 a 30 minutos
SEMS,ZAPOTILTIC,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,Caminando,Hasta 15 minutos
CUTONALA,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,Bicicleta,16 a 30 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUALTOS,ARANDAS,Transporte escolar,31 minutos a 1 hora
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,BRISE¥AS,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,AUTLAN DE NAVARRO,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TONALA,"Camion, combi o colectivo",Hasta 15 minutos
CUCBA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZACOALCO DE TORRES,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,LAGOS DE MORENO,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,TLAJOMULCO DE ZUNIGA,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUTONALA,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEA,ZAPOPAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,VILLA HIDALGO,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,VILLA CORONA,Caminando,Hasta 15 minutos
CUCBA,ZAPOPAN,Bicicleta,31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,Caminando,Hasta 15 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUNORTE,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,TEPATITLAN DE MORELOS,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCEA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUALTOS,ZAPOTLANEJO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,AYOTLAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,VILLA CORONA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,CHAPALA,Caminando,31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,VILLA GUERRERO,Caminando,Mas de 2 horas
SEMS,CHAPALA,Caminando,31 minutos a 1 hora
SEMS,IXTLAHUACAN DE LOS MEMBRILLOS,"Camion, combi o colectivo",16 a 30 minutos
CUAAD,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,VILLA CORONA,Caminando,16 a 30 minutos
SEMS,VILLA CORONA,Bicicleta,Hasta 15 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,VILLA CORONA,Caminando,Hasta 15 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,SAN MIGUEL EL ALTO,Caminando,16 a 30 minutos
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,ACATLAN DE JUAREZ,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",Mas de 2 horas
CUCSH,TLAJOMULCO DE ZUNIGA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ATOTONILCO EL ALTO,Caminando,Hasta 15 minutos
SEMS,OCOTLAN,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,CHAPALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,VILLA CORONA,Transporte escolar,16 a 30 minutos
CUSUR,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,Caminando,Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,GUADALAJARA,"Camion, combi o colectivo",Mas de 2 horas
SEMS,GUADALAJARA,Otro,16 a 30 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,Bicicleta,16 a 30 minutos
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TOMATLAN,"Camion, combi o colectivo",Hasta 15 minutos
SEMS,PONCITLAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCSH,GUADALAJARA,Bicicleta,31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TLAQUEPAQUE,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SUV,NEZAHUALCOYOTL,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUAAD,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TALA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
SEMS,AUTLAN DE NAVARRO,Caminando,16 a 30 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCI,CHAPALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",Hasta 15 minutos
CUCOSTA,CHAPALA,Caminando,16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,AUTLAN DE NAVARRO,Caminando,Hasta 15 minutos
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TOMATLAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCSUR,LA HUERTA,Caminando,Hasta 15 minutos
SEMS,ZAPOTLANEJO,"Camion, combi o colectivo",16 a 30 minutos
SEMS,ARANDAS,Bicicleta,Hasta 15 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSUR,JOCOTEPEC,Caminando,Hasta 15 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,Caminando,16 a 30 minutos
CUCSH,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUVALLES,ARENAL,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUVALLES,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,AUTLAN DE NAVARRO,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,LA HUERTA,"Taxi, uber o trasporte de plataforma",16 a 30 minutos
CUCEA,EL SALTO,Transporte escolar,Mas de 1 hora y hasta 2
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,VILLA CORONA,Otro,16 a 30 minutos
