Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,Otro,31 minutos a 1 hora
SEMS,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCSH,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 2 horas
CUTONALA,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCI,BRISE¥AS,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,ZACOALCO DE TORRES,"Camion, combi o colectivo",31 minutos a 1 hora
CUCS,TLAJOMULCO DE ZUNIGA,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUCS,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUSUR,AMACUECA,"Camion, combi o colectivo",31 minutos a 1 hora
CULAGOS,SAN JUAN DE LOS LAGOS,Caminando,Hasta 15 minutos
CUVALLES,TALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,COCULA,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,TALA,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,SAN MARTIN HIDALGO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSUR,AUTLAN DE NAVARRO,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUVALLES,AMECA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,EL SALTO,"Camion, combi o colectivo",31 minutos a 1 hora
CULAGOS,LAGOS DE MORENO,Caminando,16 a 30 minutos
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCEI,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUALTOS,VALLE DE GUADALUPE,"Vehiculo particular (automovil, camioneta o motocicleta)",Mas de 1 hora y hasta 2
CUCEI,TLAQUEPAQUE,"Metro, metrobús o tren ligero",Mas de 1 hora y hasta 2
CUCEI,EL SALTO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCSH,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCS,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCEI,CUQUIO,"Camion, combi o colectivo",31 minutos a 1 hora
CUCI,VENUSTIANO CARRANZA,Transporte escolar,Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCBA,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUCOSTA,TOMATLAN,Otro,16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,IXTLAHUACAN DE LOS MEMBRILLOS,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Hasta 15 minutos
CUVALLES,AMECA,Transporte escolar,16 a 30 minutos
CUCEI,TONALA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEA,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",31 minutos a 1 hora
SEMS,TEUCHITLAN,Caminando,16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEI,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUTONALA,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
